ID	SPQ1	SPQ2	SPQ3	SPQ4	SPQ5	SPQ6	SPQ7	SPQ8	SPQ9	SPQ10	SPQ11	SPQ12	SPQ13	SPQ14	SPQ15	SPQ16	SPQ17	SPQ18	SPQ19	SPQ20
1159	3	4	4	3	3	5	4	3	2	2	1	2	3	4	5	3	3	3	3	3
1160	1	2	1	3	2	2	2	2	1	3	1	2	3	1	1	2	1	2	1	3
1161	4	4	4	3	4	3	4	4	4	5	4	5	4	5	1	4	4	4	5	5
1162	4	4	1	3	4	4	1	4	4	4	2	2	4	4	2	4	4	4	2	2
1163	2	1	4	3	2	5	2	4	4	4	4	4	4	4	3	2	2	1	2	3
1164	2	3	1	2	2	2	1	3	3	2	3	3	4	1	1	4	3	5	4	4
1165	2	2	2	3	2	3	2	1	2	4	3	3	3	2	2	3	2	3	4	4
1166	3	4	3	3	3	3	4	3	3	3	4	3	3	3	3	4	3	3	3	3
1167	3	4	4	2	5	3	2	1	3	4	2	3	3	3	1	4	2	1	3	4
1168	2	3	1	5	2	2	2	4	2	4	2	3	2	2	2	3	1	2	4	2
1169	4	3	2	2	4	3	2	2	3	4	2	3	4	2	2	2	1	3	4	2
1170	1	1	3	3	4	2	2	4	1	1	3	2	2	1	3	4	4	3	3	3
1171	3	5	2	1	3	3	2	2	3	5	3	2	3	1	1	4	3	4	4	4
1172	3	2	1	4	3	2	3	3	3	4	2	4	3	2	2	2	1	2	1	2
1173	4	4	1	3	4	4	1	4	2	4	2	1	4	2	1	2	2	4	3	1
1174	5	5	3	3	5	5	1	4	5	5	3	3	5	5	2	4	4	5	2	3
1175	4	4	2	2	2	3	2	3	4	3	3	2	3	3	2	3	2	3	2	3
1176	3	2	2	4	3	4	1	2	3	2	3	2	4	2	1	3	1	2	3	1
1177	3	4	2	4	2	3	1	5	4	3	3	3	3	1	1	3	3	5	2	4
1178	3	3	3	4	4	2	1	3	3	3	4	4	2	1	1	5	1	2	3	2
1179	3	4	1	4	1	2	2	4	2	4	3	2	2	1	1	4	2	2	4	4
1180	5	4	2	5	2	3	1	4	1	4	3	2	4	2	2	4	1	5	4	5
1181	3	4	3	2	2	3	2	2	4	4	1	2	3	2	2	3	4	5	2	1
1182	4	4	4	5	3	3	1	4	4	5	4	5	4	2	3	4	3	3	5	2
1183	5	5	2	5	5	3	2	5	5	4	2	4	2	1	2	4	1	5	4	5
1184	2	4	2	2	1	2	2	2	2	2	4	4	3	3	2	2	2	3	3	4
1185	1	5	1	3	4	3	1	5	4	5	4	3	3	1	2	3	4	3	2	4
1186	2	2	5	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1187	5	5	2	4	5	4	2	3	3	3	3	3	4	3	1	2	2	5	2	5
1188	4	3	4	2	5	4	1	3	4	2	4	2	4	4	1	4	2	2	2	2
1189	3	1	2	3	3	3	2	3	2	3	1	2	2	1	2	2	2	2	2	2
1190	3	3	4	5	1	2	3	2	1	2	2	2	2	1	2	3	2	2	5	2
1191	2	2	2	3	2	2	3	3	2	3	3	3	4	2	2	2	3	2	2	3
1192	3	4	1	3	4	1	1	3	3	4	2	1	4	1	1	3	2	1	1	4
1193	2	1	3	2	3	5	4	3	4	4	3	3	4	5	2	2	2	3	4	4
1194	3	5	2	1	5	4	1	2	3	5	1	1	4	4	2	2	3	4	1	1
1195	4	3	1	4	3	4	1	4	2	5	1	3	5	2	1	5	3	3	4	2
1196	1	2	2	3	2	2	2	1	3	3	1	3	2	1	2	3	2	1	3	1
1197	3	4	1	3	4	2	1	4	3	4	1	1	4	3	1	4	2	3	3	2
1198	3	5	2	2	4	4	1	4	3	5	2	2	4	4	1	3	4	5	2	2
1199	2	2	1	3	1	1	1	4	2	2	2	2	3	1	1	3	2	4	4	1
1200	2	4	2	3	4	4	1	3	3	4	3	5	4	3	2	2	3	4	2	3
1201	2	5	1	2	4	2	2	1	1	5	1	2	3	1	1	2	2	4	3	3
1202	4	5	1	3	5	5	2	4	2	5	1	2	4	2	2	5	3	5	4	3
1203	4	4	1	2	5	5	1	2	5	5	1	1	5	4	1	1	2	4	2	1
1204	4	3	4	2	5	3	2	5	5	4	4	5	5	2	1	3	3	2	2	2
1205	4	3	3	4	4	3	2	2	4	3	3	3	3	2	2	2	3	1	4	2
1206	3	4	2	2	5	4	1	2	3	4	1	2	4	2	2	2	4	4	2	2
1207	2	4	1	4	1	2	2	4	2	4	2	3	2	1	3	4	3	3	4	1
1208	3	2	2	2	5	4	2	2	3	4	2	1	4	3	2	1	4	4	2	1
1209	1	5	1	3	4	2	1	3	4	4	2	1	3	2	1	2	2	4	3	3
1210	4	4	4	2	2	1	1	3	1	4	2	2	2	1	1	3	1	4	2	2
1211	4	3	2	1	2	3	1	2	2	5	1	2	5	4	1	1	3	5	3	1
1212	5	3	4	5	2	1	1	3	1	5	2	1	1	1	1	5	2	3	5	3
1213	4	3	1	2	3	3	1	4	4	4	3	3	5	4	2	2	2	2	3	3
1214	3	2	1	2	4	3	3	4	4	3	2	4	4	2	2	1	3	4	4	2
1215	3	3	2	2	5	4	2	3	3	2	2	3	4	3	1	4	3	5	4	3
1216	3	3	4	4	3	2	2	4	1	4	2	4	3	2	3	4	1	2	2	2
1217	4	4	2	4	5	4	3	2	4	3	1	3	4	2	2	3	2	2	3	2
1218	3	4	3	4	3	3	2	3	4	4	2	4	4	3	1	4	1	4	3	2
1219	4	4	3	2	2	4	1	4	4	5	3	1	4	2	1	4	2	5	4	2
1220	2	1	3	4	3	1	2	3	1	4	3	3	2	1	2	2	2	1	1	1
1221	4	3	3	4	5	4	1	4	5	4	2	2	5	4	1	2	3	2	3	5
1222	2	2	4	4	5	3	2	4	2	4	4	5	3	1	1	5	1	2	5	4
1223	3	3	4	4	4	3	2	5	3	3	4	3	3	3	2	5	3	5	4	5
1224	2	1	4	4	4	2	2	4	2	2	4	3	3	1	3	3	2	3	4	3
1225	4	4	1	2	2	4	4	4	4	4	2	3	4	2	3	2	2	2	2	3
1226	2	3	2	2	1	2	2	3	1	5	1	2	3	2	1	3	1	5	3	1
1227	4	4	2	5	4	5	1	5	5	3	1	1	3	3	1	5	4	5	4	4
1228	4	5	1	2	5	5	2	2	4	4	2	2	4	3	1	3	2	5	3	2
1229	4	5	3	3	3	2	3	4	2	4	2	2	4	1	2	3	1	4	2	4
1230	2	1	3	2	3	2	2	2	2	1	4	4	4	4	5	4	3	4	5	4
1231	2	2	1	1	2	2	1	4	4	5	2	1	4	3	1	1	3	5	1	3
1232	3	4	2	2	2	4	2	4	4	5	4	3	4	3	1	1	3	2	4	4
1233	3	4	3	3	5	4	1	4	4	5	3	2	5	1	2	2	3	5	1	3
1234	4	4	1	2	2	3	1	2	3	4	1	2	4	1	2	4	2	5	3	2
1235	4	3	1	3	3	2	2	4	2	4	3	3	2	2	2	3	2	5	2	3
1236	5	4	2	4	3	3	1	2	4	5	3	3	5	2	1	3	2	4	3	1
1237	3	3	2	3	4	4	2	2	1	3	2	2	3	3	4	3	1	2	2	2
1238	4	2	2	3	2	3	2	3	3	4	3	4	4	1	2	3	2	4	3	2
1239	3	2	1	1	2	2	2	2	2	4	2	2	4	2	1	3	2	3	2	3
1240	3	3	1	2	3	3	2	4	2	4	2	3	3	2	1	3	4	5	2	2
1241	2	4	4	5	3	4	3	4	2	5	5	4	4	2	4	5	3	4	5	4
1242	3	3	1	4	3	2	1	3	2	2	3	3	3	1	1	4	2	3	3	3
1243	4	4	2	4	4	2	4	4	2	4	4	4	4	2	1	3	2	4	5	2
1244	4	4	3	3	3	2	1	4	1	4	2	2	5	1	2	1	2	5	2	5
1245	4	3	2	2	4	2	1	2	3	4	2	2	3	3	2	2	2	3	2	3
1246	3	2	3	4	2	2	4	5	1	3	4	3	3	1	2	5	2	2	4	4
1247	3	4	1	2	3	4	2	3	2	4	2	2	4	2	2	3	3	4	4	2
1248	5	5	3	4	5	5	2	4	4	5	3	3	4	4	2	3	3	4	3	3
1249	3	2	3	5	5	4	1	3	3	3	3	4	4	2	1	5	2	4	3	4
1250	4	3	2	4	3	3	2	4	4	4	3	3	4	2	4	3	3	4	3	4
1251	2	3	1	2	5	4	2	2	2	1	1	2	3	2	1	2	2	4	2	1
1252	2	3	4	4	4	4	2	3	2	2	4	4	2	2	2	3	3	3	4	4
1253	2	2	1	3	4	2	2	2	1	1	2	2	2	1	2	2	2	3	2	2
1254	2	4	1	1	5	3	2	4	4	3	3	1	3	3	3	3	5	5	3	3
1255	5	5	1	3	5	5	1	3	5	5	1	1	5	5	1	1	4	5	2	1
1256	3	3	1	4	4	3	1	4	2	5	4	3	4	2	1	3	4	4	2	1
1257	4	4	3	3	4	4	2	3	3	4	4	3	4	2	2	3	3	4	3	4
1258	4	4	1	4	3	3	2	4	3	4	3	3	4	3	2	3	2	4	3	3
1259	4	3	2	4	4	2	3	3	3	4	1	2	3	1	2	3	2	3	2	2
1260	2	1	1	4	4	2	2	2	2	4	2	1	3	1	2	5	2	5	5	4
1261	5	5	4	5	5	5	2	1	5	5	1	3	4	3	3	3	4	5	2	2
1262	5	5	1	4	5	4	2	1	5	4	2	1	5	4	1	1	4	4	1	3
1263	3	4	2	3	4	4	3	4	3	4	3	3	2	4	3	3	3	3	4	2
1264	2	2	3	5	4	3	1	5	2	5	4	4	4	1	1	3	2	3	3	5
1265	4	3	1	4	4	4	1	2	4	4	2	1	5	5	1	5	2	4	1	2
1266	5	5	1	3	2	3	1	4	2	4	2	2	4	2	1	4	5	5	4	2
1267	3	3	1	4	5	5	1	4	3	3	3	5	4	1	2	2	2	2	1	4
1268	5	5	2	2	5	4	1	4	5	4	3	2	4	5	1	2	3	4	2	3
1269	4	4	5	4	2	4	2	4	1	4	4	5	2	1	2	2	3	4	4	5
1270	3	4	2	4	3	2	1	4	3	5	3	4	4	2	3	4	4	3	4	3
1271	4	3	1	3	5	3	1	2	4	5	2	4	5	2	1	2	3	5	2	3
1272	2	3	2	2	4	3	2	4	3	4	4	3	3	3	3	3	2	4	3	4
1273	4	5	3	4	5	4	2	2	3	4	4	3	4	2	4	3	3	3	1	3
1274	4	5	2	3	4	3	2	4	3	5	3	4	3	2	3	4	2	3	3	3
1275	4	2	2	4	4	1	2	5	3	4	3	3	4	1	2	3	1	2	4	2
1276	4	4	2	3	5	4	2	4	3	5	3	2	4	2	2	3	5	5	2	4
1277	5	4	2	4	4	3	3	4	2	3	3	2	3	1	2	3	2	2	4	2
1278	5	5	1	4	4	3	1	3	4	5	2	3	5	2	1	1	2	4	3	3
1279	2	4	2	2	2	3	3	4	2	4	2	1	3	2	1	3	2	3	3	2
1280	3	2	1	2	1	2	1	2	2	4	1	2	4	2	1	4	3	5	2	2
